Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,147.350006,148.789993,147.029999,148.389999,145.899582,4430700
2020-09-01,148.610001,149.199997,146.649994,147.300003,144.827866,2358700
2020-09-02,146.789993,150.000000,146.509995,149.550003,147.040100,2406800
2020-09-03,152.190002,153.369995,147.460007,149.020004,146.519012,4226100
2020-09-04,148.770004,152.580002,147.949997,150.910004,148.377274,4361800
2020-09-08,150.949997,151.309998,148.500000,149.309998,146.804123,4351200
2020-09-09,150.619995,154.119995,150.309998,151.970001,149.419495,2328500
2020-09-10,149.880005,150.600006,145.720001,146.220001,143.765991,3961300
2020-09-11,147.559998,149.190002,146.880005,148.089996,145.604614,3001400
2020-09-14,149.089996,150.509995,147.470001,149.000000,146.499344,3072500
2020-09-15,149.960007,151.869995,149.419998,150.080002,147.561203,2923500
2020-09-16,151.720001,152.679993,150.789993,150.960007,148.426453,3618800
2020-09-17,150.130005,152.679993,149.460007,152.470001,149.911102,3620700
2020-09-18,152.039993,154.500000,152.039993,154.169998,151.582565,13209800
2020-09-21,153.169998,153.660004,149.059998,151.179993,148.642731,3501600
2020-09-22,150.910004,151.570007,149.149994,149.860001,147.344910,2926400
2020-09-23,150.050003,151.589996,148.699997,149.809998,147.295731,3545700
2020-09-24,149.259995,149.660004,147.369995,148.809998,146.312515,3424200
2020-09-25,148.389999,150.399994,147.850006,150.259995,147.738190,2440600
2020-09-28,151.000000,151.580002,147.899994,148.100006,145.614441,2427100
2020-09-29,147.979996,148.440002,145.929993,146.259995,143.805328,3308300
2020-09-30,146.399994,148.449997,145.059998,148.020004,145.535797,5083900
2020-10-01,148.330002,148.710007,144.059998,144.289993,141.868378,3809200
2020-10-02,143.669998,146.940002,143.270004,145.210007,142.772949,3880000
2020-10-05,145.070007,147.470001,144.179993,146.630005,144.169128,2790600
2020-10-06,146.929993,147.830002,143.929993,144.130005,141.711075,2409200
2020-10-07,148.520004,149.889999,146.850006,148.960007,146.460007,4602800
2020-10-08,152.399994,153.940002,150.500000,153.500000,150.923798,4686100
2020-10-09,154.089996,157.149994,154.070007,156.880005,154.247086,4590600
2020-10-12,156.830002,157.149994,154.419998,154.490005,151.897202,3242700
2020-10-13,153.000000,154.330002,148.550003,150.080002,147.561203,5963900
2020-10-14,150.380005,150.600006,147.710007,148.460007,145.968414,2710200
